number,TeacherID,speaker,utterance,ut,rc,ICA_best_dim_1,ICA_best_dim_2,ICA_best_dim_3,ICA_best_dim_4,ICA_best_dim_5,ICA_best_dim_6,ICA_best_dim_7,ICA_best_dim_8,ICA_best_dim_9,ICA_best_dim_10,ICA_best_dim_11,ICA_best_dim_12,ICA_best_dim_13,ICA_best_dim_14,ICA_best_dim_15,ICA_best_dim_16,ICA_best_dim_17,ICA_best_dim_18,ICA_best_dim_19
87,3026,T,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",Fq,PD,0.26155917,-0.231605428,0.222638125,0.337361725,-0.227790098,-0.219096279,-0.26392348,-0.221655012,0.211795652,0.216841031,0.225494263,0.275559576,-0.227942508,0.261138598,0.230440093,-0.249151303,0.240926767,0.235360514,6.309381647
88,3026,S,I think less. ,Rs,PD,0.080056249,-0.113652112,0.074576903,0.148964279,-0.074907467,3.094810512,-0.099359804,-0.04134479,0.076021264,0.052833129,0.086114295,0.09362059,-0.03418659,0.221454225,0.068963086,-0.116466086,-0.014072833,0.097273099,-0.078970224
89,3026,T,"Inside the volcano, before it erupts?",Fq,PD,0.162988413,-0.167655474,0.14928638,0.202855168,-0.155218002,4.628452755,-0.161540991,-0.150493957,0.145409778,0.13850379,0.158833427,0.186636931,-0.135533421,0.303929537,0.15364475,-0.165773618,0.11894981,0.184175653,-0.159455221
90,3026,S,It’s greater. ,Rs,PD,0.08005625,-0.113652113,0.074576903,0.14896428,-0.074907467,3.09481051,-0.099359804,-0.04134479,0.076021264,0.052833132,0.086114296,0.09362059,-0.034186599,0.221454225,0.068963086,-0.116466087,-0.014072833,0.097273099,-0.078970207
91,3026,T,It’s greater. ,Fy,PD,0.08005625,-0.113652113,0.074576903,0.14896428,-0.074907467,3.09481051,-0.099359804,-0.04134479,0.076021264,0.052833132,0.086114296,0.09362059,-0.034186599,0.221454225,0.068963086,-0.116466087,-0.014072833,0.097273099,-0.078970207
92,3026,T,"Now before it balances out it’s going to do what? If it wants to reach equilibrium, what does that volcano have to do? ",Q,PD,0.172036098,-0.185421618,-6.19406268,0.28314159,-0.209996278,-0.176469263,-0.209165211,-0.166811958,0.167926474,0.167048595,0.178391182,0.230991608,-0.200528118,0.146004788,0.219168391,-0.171945254,0.170229046,0.171988347,-0.204381732
93,3026,S,Erupt.,Rs,PD,0.117891143,-0.165742851,0.119375956,0.200318098,-0.149710139,-0.146124296,-0.199251649,-0.0730428,0.130680083,0.113614034,0.134405372,0.145466949,-0.081904802,0.21284363,0.121607916,2.909162207,0.037365972,0.168421244,-0.141707323
94,3026,T,"It’s going to erupt, because the whole point is the pressure under the crust vs. the pressure outside, it’s not the same.",Fs,PD,0.515895169,-0.594622512,0.473416245,0.693944706,-0.476334201,2.349746975,-0.579836318,-0.404663608,0.533038653,0.42628183,0.506863034,0.534941806,-0.422758839,1.056299923,0.509686658,-0.703789925,0.385741565,0.53067556,-0.530219651
95,3026,T,"It’s in disequilibrium and we have to balance it out by making it the same, so it’s got to erupt. Same thing with succession. ",E,PD,-6.350705535,-0.284493988,0.183642426,0.187005904,-0.252352146,-0.195245455,-0.239727652,-0.190384581,0.178132176,0.180468291,0.192113686,0.187394822,-0.187754287,0.140141723,0.192044228,-0.184688085,0.192588033,0.18314226,-0.23255981
96,3026,T,"Johnny, explain to me what speed is. ",Q,SK,0.123236384,-0.171874469,0.124387708,0.150766625,-0.127699889,-0.135090913,-0.13568947,-0.101432646,0.122577964,-5.596662166,0.132870849,0.124364551,-0.107694955,0.198495159,0.125821994,-0.19373706,0.088672407,0.123016238,-0.132385009
97,3026,S,Speed is how far you move in a specific time? ,Rs,SK,0.292355632,-0.375485487,0.313966159,0.393839865,-0.284346704,-0.346423295,-0.379627439,-0.249848144,0.314976623,0.25562918,0.299312612,-4.453458807,-0.253393693,0.469182086,0.294022673,-0.416407617,0.269368767,0.313377828,-0.344894035
98,3026,T,"Ok, how far you move in a certain amount of time. ",Fs,SK,0.140000851,-0.195416506,0.18891708,0.168428902,-0.150865833,-0.168847512,-0.210612929,-0.155882071,0.150771575,0.140271665,0.150849447,-6.18998982,-0.14296955,0.081370293,0.143882339,-0.180558472,0.191229499,0.166035069,-0.199496316
99,3026,T,Ok? So how many of you all…How many of y’all sped to school this morning?,Q,EX,0.176248246,-0.254461524,0.257466362,0.188744528,-0.196242982,-0.180802201,-0.273223561,-0.172328404,0.190334984,0.179041804,0.215792932,0.188151608,-0.194658733,0.187438842,-4.671567682,1.073318645,0.277874672,0.203933023,-0.192821299
100,3026,S,"Ran, yeah.",Rs,EX,0.356290663,-0.463902958,0.353372357,0.522906099,-0.333904046,-0.43207823,-0.453034529,-0.257019587,0.388858767,0.289404216,0.363259153,-2.279508506,-0.27509702,0.723578835,0.353402466,-0.546522471,0.242903676,0.371178484,-0.394909834
101,3026,T,Ran to the school? ,Fq,EX,0.610215297,-0.76401793,0.561787489,0.898591037,-0.556372165,-0.728037867,-0.734725379,-0.41362971,0.662533849,0.481666741,0.61069776,0.614709877,-0.459137255,1.369931825,0.603636351,-0.939604376,0.37313579,0.616749739,-0.637239366
102,3026,T,How many of you all sped to school this morning. ,Q,EX,0.138490471,-0.236453367,0.243914604,0.143683064,-0.146910769,-0.144511031,-0.234303827,-0.133521335,0.155633548,0.135723618,0.186931363,0.137125014,-0.159409266,0.139347803,-6.035076372,-0.197392182,0.259744754,0.149090386,-0.147822117
103,3026,S,Sped? Ran to school? ,Rs,,0.410940606,-0.539932789,0.437722297,0.564057595,-0.385711969,-0.475107911,-0.52463023,-0.306107403,0.447020029,0.34099706,0.43441084,0.41310915,-0.343821358,0.819470182,-2.754954625,-0.615497944,0.354855105,0.41939098,-0.430314612
104,3026,T,I mean speed. Did you all speed to school? ,Q,EX,0.684871228,0.259066834,0.618739794,0.927048523,-0.625568638,-0.769261703,-0.784817363,-0.480851723,0.719322359,0.542403756,0.66581144,0.674863582,-0.528776774,1.39707082,0.663712929,-0.972277546,0.460374439,0.666573792,-0.69864344
105,3026,T,"In cars, ran. ",P,,0.610215297,-0.76401793,0.561787489,0.898591038,-0.556372165,-0.728037869,-0.734725379,-0.41362971,0.66253385,0.481666742,0.61069776,0.614709877,-0.459137256,1.369931827,0.603636357,-0.939604377,0.37313579,0.616749739,-0.637239366
106,3026,T,"It’s funny, because when I say speed to school you think that you’re going too fast, right? ",E,OD,0.495573358,-0.572673397,0.461012903,0.663369983,-0.464250585,2.120182156,-0.557704033,-0.400219176,0.517745199,0.414113185,0.492609185,0.514033345,-0.411072293,0.524713214,0.492018085,-0.684756848,0.37706322,0.518909409,-0.513947576
107,3026,T,"But really, the actual definition of speed is involving what two units as Johnny just told us?",Q,SK,0.334475558,5.309779632,0.25033463,0.226926726,-0.303704356,-0.220560855,-0.269621822,-0.19992146,0.265388985,0.224880483,0.257681724,0.252540434,-0.222603995,0.25502565,0.244015996,-0.228408093,0.204096364,0.213825665,-0.270011683
108,3026,T,What two units does it involve? ,Q,SK,0.143584567,-0.249978631,0.144107377,0.180579585,-0.150306031,-0.155298909,-0.154652637,-0.127415708,0.226956171,0.135205603,-5.025239933,0.146737819,-0.132241064,0.200705467,0.174789258,-0.159959875,0.118731285,0.145677267,-0.155032117
109,3026,S,Time and distance. ,Rs,SK,0.234889139,-0.313343157,0.266835329,0.334240377,-0.268221743,-0.410410296,-0.291707909,-0.244202635,0.298439788,0.217922014,0.283595865,0.241717819,-0.205666116,-3.391126533,0.248142647,-0.43384745,0.170119019,0.31614468,-0.281188923
110,3026,T,"Time and distance, ok? ",Fy,SK,0.256564446,-0.316467445,0.278524988,0.340543716,-0.297449777,-0.387751372,-0.324657397,-0.263911762,0.304858823,0.249875573,0.294730575,0.277124861,-0.237328747,-2.451048985,0.272011004,1.133658267,0.21630178,0.340452133,-0.302245295
111,3026,T,"So really, it’s just a ratio of how far have you gone in a certain amount of time.",E,SK,0.161170439,-0.213207547,0.213644499,0.180358257,-0.173045154,-0.187257529,-0.232701882,-0.18708541,0.170789764,0.164532276,0.170553205,-6.761637753,-0.172170483,0.083701546,0.166783831,-0.195812298,0.235418339,0.188775741,-0.225886574
112,3026,T,And you all deal with speed all the time. ,E,EX,0.096828022,-0.113488687,0.098976403,0.112573319,-0.18128365,-0.146149354,-0.190639089,-0.135379453,0.152600837,0.093579114,0.108980309,0.156152,-0.144134941,0.1607165,0.16111527,-0.152632626,0.068881561,-5.559946695,-0.163948084
113,3026,T,"You all are in baseball, you all are in track, you measure your speed ",E,EX,0.240110681,-0.261801326,0.23590676,0.295799481,-0.290964383,-0.250314478,-0.333804179,-0.223040607,0.246741589,0.252887364,0.250642974,0.288194374,-0.23215191,0.306647649,0.254812812,4.665370123,0.227856385,0.315393195,-0.275931576
114,3026,T,"When you drive to school everyday, roadtrips, when you’re on the interstate or in your neighborhood. E3.5 ",E,EX,0.204454494,-0.194657155,0.186641119,0.229800646,-0.195373268,5.395273911,-0.192631583,-0.205068541,0.180104035,0.181339119,0.195192991,0.233145102,-0.186206831,0.345167195,0.195985582,-0.190427383,0.185461132,0.227626931,-0.199697719
115,3026,T,what are the units that we measure our speed in? ,Q,SK,0.096828018,-0.113488681,0.098976399,0.112573313,-0.181283647,-0.146149349,-0.190639085,-0.135379451,0.152600832,0.09357911,0.108980305,0.156151997,-0.144134939,0.160716495,0.161115267,-0.15263262,0.068881545,-5.559946726,-0.16394808
116,3026,S,Miles per hour. ,Rs,SK,0.11356841,-0.210808036,0.208497198,0.132294108,-0.121063617,-0.125395805,-0.205492006,-0.099024126,0.131368068,0.10747564,0.159569659,0.111620891,-0.12297412,0.130142891,-5.375667914,-0.177443165,0.19975999,0.124021231,-0.122286352
117,3026,T,"We measure it in miles per hour, ",Fy,SK,0.137247493,-0.199087357,0.20361392,0.140019797,-0.145602028,-0.140735066,-0.213690974,-0.132322814,0.149916459,0.134390308,0.170445523,0.168095509,-0.150091659,0.131254976,-3.805777486,-0.170956776,-2.806524267,0.142655888,-0.145459141
118,3026,T,"don’t we, whereas in science lab we may use [inaudible] per second. ",E,SK,-1.864642131,3.278175031,0.216022429,0.206731145,-0.27192471,-0.202731162,-0.248503058,-0.182279316,0.224247394,0.197141335,0.224051579,0.217970908,-0.196147656,0.209859753,0.213768805,-0.20601546,0.181672677,0.192613668,-0.244212898
119,3026,T,"So if I’m driving to Houston to see my sister, ok? ",E,OD,-5.813714319,-0.26059268,0.161486615,0.174506751,-0.223375082,-0.176150759,-0.217036489,-0.158898456,0.157484637,0.154841736,0.170561888,0.163411372,-0.157217601,0.132972741,0.166977559,-0.170387763,0.152070363,0.160884465,-0.205597561
120,3026,T,And let’s say I drive the first 100 miles and it takes me exactly two hours. ,E,OD,0.299790511,-0.304562012,0.208945706,0.211956577,6.528648236,-0.203159135,-0.198699979,-0.200692538,0.194783528,0.197910625,0.20834354,0.205431709,-0.206156332,0.219459063,0.210352539,-0.268768622,0.217961676,0.346751072,-0.212756078
121,3026,T,About how many miles did I go per hour?,Q,OD,0.180469742,1.316989575,0.227989241,0.161111824,-0.177540967,-0.156078369,-0.229708471,-0.13471721,0.17398843,0.146365424,0.192903389,0.156432792,-0.158745784,0.166878082,-3.961179819,-0.196033204,0.214294486,0.15453783,-0.16899578
122,3026,S,50,Rs,OD,0.067120351,-0.168534218,0.071124234,0.134113876,-0.07163282,-0.09435727,-0.094767569,-0.02595929,0.130385526,0.050634342,-3.369934613,0.067021182,-0.031991695,0.152638177,0.083059426,-0.112590258,-0.014218516,0.071607509,-0.076021489
123,3026,T,If I went 100 miles and it took me two hours. ,Q,OD,0.185903027,-0.250870638,0.255422415,0.255450766,-0.198751964,-0.225015223,-0.194560798,-0.18981154,0.228369636,0.18089824,0.200738922,0.189179239,5.833272503,-0.678314842,0.209166338,-0.224287707,0.182213686,0.235786045,-0.202781789
124,3026,S,50 each hour. ,Rs,OD,0.115832452,-0.216819265,0.16413843,0.148692561,-0.122572622,-0.130190417,-0.170091477,-0.096310514,0.163067012,0.107245411,-2.156950918,0.115893249,-0.110899364,0.157412964,-2.615727633,-0.160806584,0.137087337,0.12250429,-0.125490796
125,3026,T,"Right, and what did you have to do to figure that out? ",Fq,OD,0.176477891,-0.203724679,0.202242137,-3.815874547,-0.191928743,-0.216275753,-0.252272207,-0.14901366,0.212033319,0.161084116,0.221354446,0.189446647,-0.166675673,0.216871513,0.180530185,-0.23782584,0.13387589,0.178386247,-0.282754113
126,3026,S,Divide by two.,Rs,OD,0.073786345,-0.090135337,0.056774279,0.10451654,-0.055533258,-0.108615925,-0.076179642,4.495519162,0.056680644,0.036760856,0.066691392,0.063843875,-0.017911857,0.130529337,0.048781302,-0.090475923,-0.026931153,0.099571787,-0.05836369
127,3026,T,"You just divide it, right? That’s all speed is. ",Fs,OD,0.33743142,-0.402969582,0.334053349,0.439472129,-0.325564505,-0.429163148,-0.393823714,1.635999125,0.360478324,0.286797461,0.344158177,-1.244337787,-0.282069026,-0.48000769,0.333250948,-0.482789897,0.267883232,0.377315122,-0.365876368
128,3026,T,"All speed is, is just a ratio of your distance to your time, ",E,PD,0.276371874,-0.353381121,0.30411461,0.361573307,-0.271957368,-0.325009561,-0.361275666,-0.248055282,0.296506088,0.247185421,0.283325977,-4.996946384,-0.247967861,0.405582899,0.279177725,-0.383878904,0.27598504,0.298927665,-0.332390082
129,3026,T,"so if you know your speed and your time you can tell me how far you’ve gone, or, if you know your speed and your… I said that backwards. ",E,PD,0.385723442,-0.445706014,0.36192451,0.497845405,-0.428939894,-0.464462367,-0.502858959,-0.350397348,0.448851859,0.332242636,0.388520248,0.437595491,-0.376337396,0.751883712,0.438644847,-0.55571258,0.306042255,-4.188081712,-0.451530063
130,3026,T,"If you know your speed and your time you can calculate how far you’ve gone,",E,PD,0.127267366,-0.131462563,0.12794614,0.124471788,-0.225783189,-0.175095242,-0.226579361,-0.187434949,0.188493601,0.128926994,0.137031017,0.197579344,-0.196241936,0.178085309,0.204701185,-0.17509622,0.127048171,-6.4738492,-0.204939387
131,3026,T,"or if you know your total distance and if you know your total time, you can also calculate your speed,  ",E,PD,0.227763628,-0.263373433,0.245952432,0.266600748,-0.302237848,-0.352209805,-0.307249533,-0.281239915,0.296595344,0.22356249,0.258703103,0.271595013,-0.261070806,-1.991130032,0.280735554,-0.359237599,0.219378553,-3.345397968,-0.298153742
132,3026,T,and that’s our formula that you just looked up. ,E,SK,0.125887794,-0.183555811,0.172432135,0.160476,-0.136079618,-0.156574167,-0.195886961,-0.135079845,0.137426117,0.124097925,0.137713609,-5.808891231,-0.123502264,0.079816125,0.128614678,-0.170389259,0.161770273,0.150874634,-0.18190281
133,3026,T,So what’s the actual formula for speed? ,Q,SK,0.328129117,-0.452923918,0.309860312,0.455642093,-0.312414982,-0.377693723,-0.379665548,-0.247428011,0.402369129,0.275699938,-3.118676464,0.332191918,-0.267358307,0.645173762,0.347073151,-0.458247765,0.230751699,0.331588164,-0.345736164
134,3026,S,Average of distance over time. ,Rs,SK,0.223432936,-0.300231781,0.253007357,0.309548951,-0.250283779,-0.353814066,-0.276176706,-0.230489062,-1.487154243,0.210127223,0.282264453,0.234128592,-0.216087729,-2.465157707,0.241646569,-0.393520873,0.183143415,0.291045192,-0.260644335
135,3026,T,Right. Your total distance over total time. ,Fy,SK,0.315063444,-0.390267598,0.352254675,0.407504857,-0.356705579,-0.519894373,-0.370885528,-0.34949168,0.388738677,0.302029563,0.369325823,0.325250299,-0.299209406,-4.25303407,0.33527837,-0.537846557,0.282678304,0.414313853,-0.3719861
136,3026,T,"That’s your average speed, which brings me to question two. ",E,SK,0.13409007,-0.209847424,0.154250588,0.196616495,-0.14003346,-0.141715579,-0.178666204,-0.116088253,-5.487692292,0.125692865,0.210751572,0.150606523,-0.164180802,0.261493859,0.157646838,-0.221603518,0.121749844,0.157291303,-0.142808789
137,3026,T,There’s average speed and there’s instantaneous speed. ,E,SK,0.555690577,-0.693465422,0.520718121,0.795075306,-0.513279332,-0.646977872,-0.663763981,-0.400881287,-1.174404504,0.451835924,0.576594049,0.565490969,-0.452281251,1.2009353,0.559697581,-0.839860263,0.383506794,0.567096671,-0.580132731
138,3026,T,So what is your average speed? ,Q,SK,0.097440379,-0.175813752,0.116068481,0.170710823,-0.10240895,-0.113508649,-0.144721409,-0.067247954,-4.583536197,0.084992689,0.165738983,0.110103421,-0.108732828,0.227328816,0.114638991,-0.18764477,0.05477185,0.11832075,-0.105340696
139,3026,T,"Speed itself is distance over time, but what is your average speed? ",Q,SK,0.211976679,-0.28712035,0.239179325,0.28485746,-0.232345749,-0.297217715,-0.260645446,-0.216775418,-3.272750257,0.202332382,0.280932994,0.226539312,-0.226509303,-1.539187393,0.235150439,-0.353194198,0.196167764,0.265945625,-0.240099677
140,3026,T,"If you had to take an average, what does that mean?",Q,SK,0.123236383,-0.17187447,0.124387707,0.150766624,-0.127699888,-0.135090912,-0.13568947,-0.101432646,0.122577963,-5.596662173,0.132870848,0.12436455,-0.107694954,0.198495158,0.125821992,-0.19373706,0.088672407,0.123016239,-0.132385008
141,3026,T,"We’ve been doing math [inaudible], math practice.  ",P,SK,0.187782312,-0.150485299,0.150785944,0.14975517,-0.156423872,-0.205860162,-0.148452649,7.580208827,0.141992364,0.147667313,0.15670236,0.17545528,-0.151068215,0.183404864,0.155339548,-0.142350851,0.153916681,0.225360214,-0.158623303
142,3026,S,You add and divide. ,Rs,SK,0.126984486,-0.118298652,0.100646389,0.125627901,-0.102615544,-0.153996569,-0.109907045,5.935041034,0.09649278,0.088517202,0.10869651,0.115929197,-0.080051491,0.155204583,0.098508483,-0.114684222,0.057464503,0.158273053,-0.105151509
143,3026,T,One person – raise your hand. One person. Ron? ,P,SK,0.784221141,-0.953611065,0.720944874,1.112943183,-0.716893606,-0.916928837,-0.924657366,-0.561275525,0.843856253,0.631710473,0.778203191,0.79149037,-0.616048331,1.698288883,0.779645506,-1.170042716,0.536449267,0.790070177,-0.81704915
144,3026,S,Go half the speed you regularly go? ,Rs,SK,0.120346441,-0.197084802,0.139932302,0.186901876,-0.125924273,-0.131137986,-0.165936912,-0.097773144,-5.148633706,0.110430303,0.193871856,0.135417865,-0.143387815,0.248681979,0.1415189,-0.208868995,0.0966331,0.142677351,-0.128758259
145,3026,T,You go half the speed your regularly go?  If I’m averaging speeds? ,Fq,SK,0.143252492,-0.218355842,0.163796114,0.203092914,-0.149439587,-0.148767312,-0.187152403,-0.128298327,-5.713731314,0.135867907,0.22200472,0.160732299,-0.178042796,0.270035119,0.168398799,-0.230093206,0.138494343,0.167033941,-0.152175812
146,3026,S,Like if... ,Rs,SK,0.067120354,-0.168534162,0.071124233,0.134113876,-0.071632821,-0.094357269,-0.09476757,-0.02595929,0.130385525,0.050634342,-3.369934549,0.067021182,-0.031991695,0.152638178,0.083059426,-0.112590258,-0.014218516,0.071607509,-0.07602149
147,3026,T,"Let me put it this way, I’ve been starting to bike.",E,OD,0.190632467,-0.185656595,0.174189538,0.220818828,-0.181988177,5.139666842,-0.182268053,-0.186877011,0.168539282,0.167060675,0.183073137,0.217642378,-0.169315695,0.331421309,0.181871972,-0.182209445,0.16329069,0.213143172,-0.186283553
148,3026,T,"I ride my bike; I’m training for the MS 150, so if I get on my bike and I ride around White Rock Lake, ",E,OD,0.167579147,-0.207135184,0.166648565,0.17401175,-0.172969417,-0.169585409,-0.169775659,-0.160484262,0.161891181,-6.758694842,0.173639445,0.170347474,-0.166283257,0.228614579,0.173808528,-0.231046219,0.166900701,0.165344656,-0.177860567
149,3026,T,I’m not always going to be going the same speed at all times. ,E,OD,0.749419972,-0.915692438,0.689113397,1.070072754,-0.684789318,-0.879150643,-0.886670968,-0.531746362,0.807591772,0.601701726,0.744702105,0.756134271,-0.584666116,1.632617472,0.744443676,-1.123955048,0.503786572,0.755406089,-0.781087193
150,3026,S,No. ,Ry,OD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
151,3026,T,Same thing in your car; are you always going to be going the same speed all the way to your destination?,Q,OD,0.827722601,-1.001009348,0.76073422,1.166531218,-0.757023964,-0.964151578,-0.972140362,-0.598186978,0.889186854,0.669221405,0.820079549,0.835685492,-0.655276098,1.780378146,0.823647793,-1.227652299,0.577277636,0.833400286,-0.862001595
152,3026,S,No. ,Ry,OD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
153,3026,T,No. Why? What’s happening between? ,Fq,OD,0.089049235,-0.137698251,0.109880741,-2.530188881,-0.099381295,-0.1350085,-0.159847282,-0.040357925,0.120436958,0.067886683,0.127794976,0.095493734,-0.0549481,0.163415543,0.086886709,-0.164500901,-0.004122113,0.093413495,-0.161169486
154,3026,S,The speed limit goes faster or slower.,Rs,OD,0.78422114,-0.953611064,0.720944874,1.112943181,-0.716893606,-0.916928836,-0.924657365,-0.561275525,0.843856253,0.631710472,0.778203191,0.791490369,-0.61604833,1.698288878,0.779645506,-1.170042715,0.536449267,0.790070176,-0.817049148
155,3026,T,"Yeah, the speed limit may change. ",Fs,OD,0.454136938,-0.563050989,0.451047501,0.643673818,-0.421983596,-0.524714211,0.851014111,-0.342516845,0.483489786,0.374385573,0.452813825,-1.11546052,-0.366672297,0.873028663,0.465074333,-0.698141509,0.340396379,0.464787235,-0.505589094
156,3026,T,"You may have to slow down for a school zone, or what else? ",Fq,OD,0.219740759,-0.245791581,0.21648496,0.279885918,-0.267422009,-0.232949445,-0.311378758,-0.198040971,0.227398007,0.229675143,0.231270041,0.26440647,-0.207110726,0.291013646,0.232611991,4.372668817,0.196108018,0.290897871,-0.253560868
157,3026,S,You have to get to the highway. ,Rs,OD,0.061338895,-0.087808458,0.06032155,0.102486038,-0.066857714,-0.079918916,-0.108310342,-0.027729632,0.071865477,0.048420937,0.073208364,0.120047962,-0.032222457,0.096202167,0.221385007,-0.086813078,-5.804670615,0.061534509,-0.066680048
158,3026,T,George said if you have to go on the freeway you might have to speed up to get on it. ,Fs,OD,0.137172679,-0.182956409,0.137669691,0.158072236,-0.141927455,-0.145932041,-0.146402272,-0.119991726,0.134933547,-5.961872433,0.145683836,0.138816327,-0.126108421,0.207961262,0.140903476,-0.205462795,0.113258437,0.136319456,-0.146677327
159,3026,T,"He’s right. Like when I ride my bike around the lake, sometimes I’m going down hill and I go about 15, 18 MPH, ",E,OD,0.182081975,-0.192425886,-6.432473875,0.292568568,-0.221517443,-0.184417131,-0.218288631,-0.180205419,0.176914093,0.178174183,0.187652811,0.243591752,-0.214906112,0.149491846,0.231619118,-0.177948925,0.187775039,0.181670958,-0.215539453
160,3026,T,but then if I’m going up a hill I’m really tired and I’m going to slow down to like 9 MPH. ,E,OD,0.209061837,-0.197657341,0.190791645,0.232794586,-0.199834965,5.480476253,-0.196086094,-0.211132383,0.183958952,0.1860986,0.199232942,0.238312676,-0.191837211,0.349749157,0.20069012,-0.193166691,0.192851279,0.232454851,-0.204169107
161,3026,T,"Ok? So at the end of my trip I look at my speedometer and it tells me my average speed may be 10, but at some points I was doing 15; ",E,OD,0.354462837,-0.44276672,-0.238898459,0.023476308,-0.344876247,-0.393178242,-0.426329709,-0.289773894,-3.312014201,0.308862891,0.40500567,0.37518676,-0.340496156,0.674707928,0.375509772,-0.511678516,0.299670596,0.370202432,-0.383919991
162,3026,T,"sometimes I did 9, so what did my average speed do? ",Q,OD,0.220211612,2.552223043,0.187846535,0.202036368,-0.207503093,-0.170451321,-0.211290627,-0.139600315,-2.284277481,0.159894022,0.217311975,0.186249247,-0.172567509,0.245508664,0.184600953,-0.212306636,0.137745516,0.170892793,-0.192171946
163,3026,T,How do I calculate it? ,Q,PD,0.035949318,-0.077540918,0.041036915,0.088776361,-0.092284564,-0.088257564,-0.118758534,-0.031268452,0.080815301,0.022883346,0.052878882,0.073297299,-0.039920944,0.125978862,0.07394343,-0.107705421,-0.047451668,-3.732141833,-0.081965464
164,3026,S,"It changed, so you add all the speeds up and divide by the number. ",Rs,PD,0.180182627,-0.146461967,0.1445185,0.146739261,-0.149697831,-0.199377213,-0.143634448,7.374562893,0.136304916,0.140273548,0.150701629,0.16801452,-0.142191125,0.17987983,0.148235654,-0.138892522,0.141860159,0.216974318,-0.151939328
165,3026,T,"Right, add all my speeds up and divide it by how many times it took the speed, right?",Fs,PD,0.374418685,-0.421347162,0.364426386,0.457097168,-0.36860003,-0.498922175,-0.407740916,2.75998904,0.4003644,0.325383556,0.384670553,0.375959874,-0.325246591,-1.593461773,0.370786669,-0.526937362,0.309871345,0.436350726,-0.395239127
166,3026,T,And that’s where I get my average speed. ,Fs,,0.097440379,-0.175813752,0.116068481,0.170710823,-0.10240895,-0.113508649,-0.144721409,-0.067247954,-4.583536197,0.084992689,0.165738983,0.110103421,-0.108732828,0.227328816,0.114638991,-0.18764477,0.05477185,0.11832075,-0.105340696
167,3026,T,"So I can say my average speed from here to Houston was about 60 MPH, but that doesn’t mean I was going 60 the whole time, does it? ",Q,PD,0.171477413,-0.210235027,0.170363806,0.176055278,-0.176949156,-0.172617894,-0.172772248,-0.165675613,0.165347288,-6.860851552,0.177223498,0.174389929,-0.171433878,0.231262436,0.178027125,-0.234326145,0.173777913,0.169065835,-0.181858418
168,3026,S,No. ,Ry,PD,-0.085808078,-0.005645391,-0.074842052,0.041182458,0.085713602,0.027526007,0.025002568,0.176953545,-0.062755765,-0.118508184,-0.059323964,-0.092412093,0.168507045,0.056503599,-0.100400243,-0.017851024,-0.280118119,-0.07653201,0.081999768
169,3026,T,"Because you know somewhere between there I probably had to stop and get gas, slow down, speed up to get on the freeway. ",Fs,PD,0.158077126,-0.199579317,0.157592666,0.169030652,-0.163268804,-0.162193732,-0.162471476,-0.147830344,0.15346692,-6.509687826,0.164903317,0.160493991,-0.153728621,0.222160418,0.1635257,-0.223051399,0.150137494,0.156274268,-0.168115804
170,3026,T,Now how is that different from instantaneous speed? What’s instantaneous speed? Raise your hand. ,Q,SK,0.722237067,-0.880006877,0.669043098,1.01679528,-0.663636886,-0.83773365,-0.850767647,-0.526931026,-0.190008883,0.58761957,0.728544817,0.731880334,-0.583192623,1.545327474,0.72305366,-1.072962867,0.511785372,0.730865925,-0.752582016
171,3026,T,"Say it again louder, Travis. ",P,SK,0.176477864,-0.203724681,0.202242137,-3.815874526,-0.191928741,-0.216275752,-0.252272207,-0.14901366,0.212033319,0.161084111,0.221354446,0.189446647,-0.166675673,0.216871515,0.180530185,-0.237825839,0.133875886,0.178386247,-0.282754112
172,3026,S,To keep from exceeding the speed limit. ,Rs,SK,0.697218219,-0.858814498,0.641366182,1.00576711,-0.636632886,-0.822483353,-0.829691372,-0.487452618,0.753195051,0.556688607,0.694450476,0.703100124,-0.537592793,1.534110355,0.691640931,-1.054823546,0.454792529,0.703409958,-0.727144258
173,3026,T,"We use it to keep from going over the speed limit, so…",Fs,SK,0.585036188,-0.718958335,0.541054917,0.825207486,-0.539034998,-0.682286973,-0.687914401,-0.421193345,0.626988106,-1.160568481,0.583870213,0.590389054,-0.46154683,1.250108014,0.58239768,-0.877346799,0.398932712,0.589185992,-0.610752924
174,3026,T,Well we use the odometer to measure what? ,Q,EX,0.123236383,-0.17187447,0.124387707,0.150766624,-0.127699889,-0.135090913,-0.13568947,-0.101432646,0.122577963,-5.596662152,0.132870849,0.12436455,-0.107694953,0.198495158,0.125821992,-0.193737055,0.088672386,0.123016238,-0.132385008
